train_acc,train_loss,val_acc,val_loss
0.0380421052631579,4.2879953,0.0572,3.970615
0.0972842105263158,3.8274326,0.1264,3.6277986
0.15317894736842105,3.484871,0.1696,3.4472032
0.20147368421052633,3.1961036,0.236,3.007945
0.24865263157894735,2.9377816,0.2836000000000001,2.8259072
0.2871578947368421,2.7406955,0.3028,2.7199268
0.32172631578947375,2.5699356,0.3292,2.571165
0.34591578947368423,2.463437,0.34440000000000004,2.4812663
0.36957894736842106,2.35096,0.3852,2.2889996
0.3898736842105263,2.2552452,0.4028,2.2345831
0.40842105263157896,2.1749609,0.40759999999999996,2.2006156
0.42378947368421055,2.1174664,0.4172,2.1965418
0.4418736842105263,2.0402236,0.412,2.1867983
0.44829473684210525,2.0035503,0.4315999999999999,2.0813546
0.4628842105263158,1.9457692,0.45159999999999995,2.0506442
0.47172631578947366,1.9048471,0.4603999999999999,1.9939426
0.4819157894736842,1.8687677,0.46240000000000003,1.9876642
0.49282105263157894,1.8229072,0.47319999999999995,1.9315343
0.5019789473684211,1.7855487,0.4684,1.9613494
0.5057263157894737,1.7678187,0.47720000000000007,1.921197
0.5141473684210526,1.7311411,0.4704,1.8937798
0.5198947368421052,1.7084678,0.4692,2.0158243
0.5293684210526316,1.684613,0.4816,1.9042673
0.5341684210526316,1.6501039,0.4936,1.8815821
0.5398526315789474,1.6301762,0.4932,1.8824466
0.5458736842105264,1.6012228,0.47759999999999997,1.9264472
0.5534947368421052,1.5812451,0.4952,1.8853941
0.5558526315789473,1.5587476,0.47720000000000007,2.0093539
0.5605684210526315,1.5462685,0.5192,1.7967945
0.5646947368421051,1.524305,0.516,1.7776189
0.5715789473684211,1.499083,0.5124,1.8604857
0.575663157894737,1.4830793,0.5184,1.7803873
0.5823789473684209,1.453227,0.5207999999999999,1.789129
0.5846315789473684,1.4410975,0.5292,1.7961894
0.5923157894736842,1.421601,0.518,1.7838167
0.5950947368421053,1.4058098,0.5196000000000001,1.7883149
0.6014947368421052,1.3804892,0.5228,1.8420784
0.6029894736842104,1.3615102,0.5336,1.7284166
0.6087368421052631,1.3408464,0.5232,1.7745839
0.6155368421052632,1.3284699,0.5296,1.7660263
0.6174736842105263,1.3151194,0.5424,1.7152643
0.6261263157894736,1.2837278,0.526,1.8014865
0.6254736842105263,1.2778215,0.5228,1.8292472
0.6302526315789474,1.2624292,0.5444,1.7203
0.6358315789473684,1.2466551,0.5288,1.8507335
0.638021052631579,1.2336131,0.5404,1.7673726
0.643978947368421,1.2101351,0.5512,1.7229613
0.6487368421052631,1.1961803,0.552,1.7709019
0.6511368421052632,1.1804594,0.5496,1.7179793
0.6577894736842105,1.1610811,0.5524,1.7008698
0.6616631578947368,1.1496956,0.5492,1.7533927
0.664778947368421,1.1277825,0.5516,1.7290303
0.6686947368421052,1.1193032,0.5376000000000001,1.7817804
0.674778947368421,1.1036742,0.5451999999999999,1.7869464
0.6769263157894736,1.0874348,0.5588,1.7617573
0.680021052631579,1.0686803,0.5468,1.7806978
0.6876842105263158,1.0462903,0.5648000000000001,1.7173387
0.6902947368421052,1.0405852,0.5644,1.7390486
0.6928631578947368,1.0222964,0.5536,1.7471247
0.6947157894736841,1.0069947,0.5648000000000001,1.7134682
0.7009684210526317,0.992159,0.5612,1.7754782
0.7059578947368421,0.98101014,0.5576,1.8186138
0.7088421052631578,0.9631768,0.5624,1.7158077
0.7130105263157893,0.94801116,0.5548,1.8350025
0.7173473684210526,0.9326799,0.5640000000000001,1.7991133
0.7213052631578948,0.9189145,0.574,1.770797
0.7242526315789474,0.90626657,0.5624,1.7819011
0.7284,0.89163667,0.5716,1.8066814
0.732378947368421,0.87791616,0.57,1.8250895
0.7340842105263158,0.86759615,0.5720000000000001,1.7978171
0.7404631578947369,0.8524139,0.5732,1.7953691
0.7454315789473683,0.8350406,0.5724,1.819639
0.7494947368421052,0.8216201,0.5648000000000001,1.8164281
0.7477894736842107,0.81705606,0.5664,1.8369598
0.7537684210526315,0.8028851,0.5764,1.8725537
0.7572842105263158,0.78788584,0.5760000000000001,1.8812901
0.7593263157894738,0.7821731,0.5752,1.894841
0.7619157894736841,0.766539,0.5736000000000001,1.8779488
0.7663368421052632,0.75952184,0.5792,1.918243
0.7685473684210526,0.7496492,0.5748000000000001,1.8775363
0.7698315789473684,0.7422345,0.5764,1.8646278
0.7730526315789474,0.7290128,0.5756,1.9368193
0.7773052631578948,0.7177215,0.5780000000000001,1.8781466
0.7802947368421053,0.70876026,0.5776,1.8956132
0.7800631578947368,0.7074301,0.5796,1.943301
0.7815578947368421,0.6956432,0.5760000000000001,1.910101
0.7846315789473683,0.6925351,0.5796000000000001,1.9522325
0.7885894736842105,0.68227977,0.5768000000000001,1.916533
0.7891368421052632,0.6783173,0.5864,1.9032887
0.7908210526315789,0.6704323,0.5811999999999999,1.9423474
0.7912842105263158,0.6682206,0.5771999999999999,1.9459468
0.7933894736842105,0.66067195,0.5808,1.9861522
0.7945052631578947,0.65584445,0.5828,1.9876692
0.794821052631579,0.65655893,0.5852,1.9840462
0.796357894736842,0.65142,0.58,1.9811696
0.798042105263158,0.644063,0.5824,1.9777669
0.8003157894736842,0.64193535,0.5780000000000001,1.9914302
0.799621052631579,0.6436791,0.5808,1.9926245
0.7993473684210526,0.6386999,0.5816,1.9696115
0.7992631578947368,0.6386257,0.5771999999999999,1.9851516
