train_acc,train_loss,val_acc,val_loss
0.04060924369747899,4.319498,0.07807692307692307,3.9694052
0.09792016806722689,3.8238516,0.12538461538461543,3.6240654
0.14903361344537816,3.5112207,0.18923076923076923,3.3257563
0.20176470588235296,3.195389,0.21576923076923074,3.1287384
0.24313025210084038,2.9695728,0.2715384615384615,2.8396924
0.27871848739495797,2.7812135,0.29115384615384615,2.72459
0.3092857142857142,2.635595,0.31,2.6804578
0.34052521008403364,2.4902103,0.33999999999999997,2.48212
0.3606512605042017,2.3852575,0.36153846153846153,2.4474683
0.38304621848739495,2.293257,0.3861538461538461,2.3047853
0.399516806722689,2.2167203,0.39499999999999996,2.2680771
0.4178361344537815,2.1417687,0.3819230769230769,2.293857
0.4326050420168068,2.0740023,0.41500000000000004,2.1946237
0.44563025210084034,2.0247996,0.4357692307692307,2.145479
0.4589285714285714,1.9560131,0.4338461538461539,2.12471
0.4675210084033613,1.9199288,0.4503846153846153,2.0503273
0.4786974789915966,1.8812658,0.44576923076923075,2.116595
0.48523109243697476,1.852648,0.4465384615384616,2.0356784
0.49590336134453783,1.8187759,0.4457692307692308,1.9946702
0.5058823529411764,1.7651706,0.44346153846153846,2.0481825
0.5095168067226892,1.7480648,0.4676923076923077,1.9726374
0.5203151260504202,1.7040087,0.46961538461538466,1.950644
0.5258403361344538,1.6943086,0.46346153846153854,2.010118
0.534873949579832,1.6536943,0.47461538461538466,1.9521613
0.5388865546218488,1.6344053,0.4834615384615385,1.9214463
0.5502521008403362,1.5987607,0.47807692307692307,1.9125417
0.5527941176470589,1.5792519,0.49038461538461536,1.9303806
0.5580252100840336,1.5531477,0.49230769230769234,1.9469885
0.560672268907563,1.542,0.49500000000000005,1.8605481
0.5698949579831932,1.5134375,0.5011538461538462,1.835365
0.5717436974789917,1.500904,0.5123076923076924,1.8151977
0.5774789915966386,1.4668356,0.5111538461538461,1.7980945
0.5833193277310924,1.4518317,0.5003846153846154,1.856044
0.5880672268907564,1.4329765,0.5084615384615385,1.8182678
0.5914495798319327,1.4167585,0.5026923076923077,1.8287448
0.595483193277311,1.3946625,0.5207692307692308,1.8311868
0.5974579831932773,1.388299,0.5261538461538462,1.7668684
0.6054201680672268,1.3612227,0.5165384615384615,1.8726602
0.6095798319327731,1.3478636,0.5192307692307693,1.7774768
0.6165546218487395,1.3176793,0.5238461538461539,1.8455819
0.6200840336134453,1.3069233,0.5173076923076922,1.8041279
0.6243277310924369,1.2888585,0.5234615384615384,1.820537
0.6271428571428571,1.2716804,0.5265384615384615,1.8283193
0.6281512605042017,1.2660154,0.5280769230769231,1.8466054
0.6349579831932772,1.242377,0.528846153846154,1.7695626
0.6408613445378151,1.2284598,0.5346153846153848,1.8283248
0.643109243697479,1.2090636,0.5134615384615385,1.8401718
0.6467226890756304,1.1995596,0.5330769230769231,1.8014417
0.6542226890756303,1.1692287,0.5284615384615384,1.8439052
0.6581722689075632,1.1533622,0.5369230769230771,1.798235
0.6591386554621849,1.1466224,0.5353846153846155,1.8111117
0.6625420168067226,1.1359016,0.5426923076923077,1.7687554
0.6669957983193278,1.1199342,0.5515384615384614,1.7925208
0.6705462184873949,1.1005874,0.5380769230769231,1.8252546
0.6736554621848739,1.0897311,0.5446153846153846,1.8707612
0.6787605042016808,1.0707837,0.5430769230769231,1.7916849
0.6831932773109243,1.0579154,0.5446153846153846,1.8185126
0.6882142857142857,1.0401961,0.5534615384615384,1.7896023
